company,specific_bean_origin_or_bar_name,review_date,cocoa_percent,company_location,rating,Bean_Type,country_of_bean_origin,trinitario_bean,criollo_bean,blend_bean,forastero_bean,new_rating
A. Morin,Agua Grande,2016,63.0,France,3,,Sao Tome,,,,,5
A. Morin,Kpime,2015,70.0,France,2,,Togo,,,,,3
A. Morin,Atsane,2015,70.0,France,3,,Togo,,,,,3
A. Morin,Akata,2015,70.0,France,3,,Togo,,,,,4
A. Morin,Quilla,2015,70.0,France,3,,Peru,,,,,4
A. Morin,Carenero,2014,70.0,France,2,Criollo,Venezuela,0,criollo,0,0,3
A. Morin,Cuba,2014,70.0,France,3,,Cuba,,,,,4
A. Morin,Sur del Lago,2014,70.0,France,3,Criollo,Venezuela,0,criollo,0,0,4
A. Morin,Puerto Cabello,2014,70.0,France,3,Criollo,Venezuela,0,criollo,0,0,5
A. Morin,Pablino,2014,70.0,France,4,,Peru,,,,,6
A. Morin,Panama,2013,70.0,France,2,,Panama,,,,,3
A. Morin,Madagascar,2013,70.0,France,3,Criollo,Madagascar,0,criollo,0,0,3
A. Morin,Brazil,2013,70.0,France,3,,Brazil,,,,,4
A. Morin,Equateur,2013,70.0,France,3,,Ecuador,,,,,5
A. Morin,Colombie,2013,70.0,France,2,,Colombia,,,,,3
A. Morin,Birmanie,2013,70.0,France,3,,Burma,,,,,3
A. Morin,Papua New Guinea,2013,70.0,France,3,,Papua New Guinea,,,,,4
A. Morin,Chuao,2013,70.0,France,4,Trinitario,Venezuela,trinitario,0,0,0,6
A. Morin,Piura,2013,70.0,France,3,,Peru,,,,,4
A. Morin,Chanchamayo Province,2013,70.0,France,3,,Peru,,,,,4
A. Morin,Chanchamayo Province,2013,63.0,France,4,,Peru,,,,,6
A. Morin,Bolivia,2012,70.0,France,3,,Bolivia,,,,,4
A. Morin,Peru,2012,63.0,France,3,,Peru,,,,,5
Acalli,"Chulucanas, El Platanal",2015,70.0,U.S.A,3,,Peru,,,,,5
Acalli,"Tumbes, Norandino",2015,70.0,U.S.A,3,Criollo,Peru,0,criollo,0,0,5
Adi,Vanua Levu,2011,60.0,Fiji,2,Trinitario,Fiji,trinitario,0,0,0,3
Adi,"Vanua Levu, Toto-A",2011,80.0,Fiji,3,Trinitario,Fiji,trinitario,0,0,0,4
Adi,Vanua Levu,2011,88.0,Fiji,3,Trinitario,Fiji,trinitario,0,0,0,4
Adi,"Vanua Levu, Ami-Ami-CA",2011,72.0,Fiji,3,Trinitario,Fiji,trinitario,0,0,0,4
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55.0,Ecuador,2,Forastero (Arriba),Ecuador,0,0,0,forastero (arriba),3
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70.0,Ecuador,3,Forastero (Arriba),Ecuador,0,0,0,forastero (arriba),3
Ah Cacao,Tabasco,2009,70.0,Mexico,3,Criollo,Mexico,0,criollo,0,0,3
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75.0,Switzerland,3,Trinitario,Indonesia,trinitario,0,0,0,5
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75.0,Switzerland,2,Criollo,Madagascar,0,criollo,0,0,3
Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75.0,Switzerland,2,Forastero,Brazil,0,0,0,forastero,3
Alain Ducasse,Trinite,2014,65.0,France,2,Trinitario,Trinidad,trinitario,0,0,0,3
Alain Ducasse,Vietnam,2014,75.0,France,2,Trinitario,Vietnam,trinitario,0,0,0,3
Alain Ducasse,Madagascar,2014,75.0,France,3,Trinitario,Madagascar,trinitario,0,0,0,3
Alain Ducasse,Chuao,2013,75.0,France,2,Trinitario,Venezuela,trinitario,0,0,0,2
Alain Ducasse,"Piura, Perou",2013,75.0,France,2,,Peru,,,,,2
Alexandre,"Winak Coop, Napo",2017,70.0,Netherlands,3,Forastero (Nacional),Ecuador,0,0,0,forastero (nacional),4
Alexandre,"La Dalia, Matagalpa",2017,70.0,Netherlands,3,"Criollo, Trinitario",Nicaragua,"criollo, trinitario","criollo, trinitario",0,0,4
Alexandre,Tien Giang,2017,70.0,Netherlands,3,Trinitario,Vietnam,trinitario,0,0,0,4
Alexandre,"Makwale Village, Kyela",2017,70.0,Netherlands,3,Forastero,Tanzania,0,0,0,forastero,4
Altus aka Cao Artisan,Momotombo,2016,60.0,U.S.A,2,,Nicaragua,,,,,3
Altus aka Cao Artisan,Acopagro,2016,60.0,U.S.A,3,,Peru,,,,,3
Altus aka Cao Artisan,CIAAB Coop,2016,60.0,U.S.A,2,,Bolivia,,,,,2
Altus aka Cao Artisan,Villa Andina,2016,60.0,U.S.A,2,,Peru,,,,,2
Altus aka Cao Artisan,Gruppo Salinas,2016,60.0,U.S.A,2,,Ecuador,,,,,3
Altus aka Cao Artisan,Sur del Lago,2013,60.0,U.S.A,2,,Venezuela,,,,,2
Altus aka Cao Artisan,Conacado,2013,60.0,U.S.A,3,Trinitario,Dominican Republic,trinitario,0,0,0,3
Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A,3,,Bolivia,,,,,4
Altus aka Cao Artisan,Bolivia,2013,60.0,U.S.A,3,,Bolivia,,,,,3
Altus aka Cao Artisan,Peru,2013,60.0,U.S.A,3,,Peru,,,,,4
Amano,Morobe,2011,70.0,U.S.A,4,,Papua New Guinea,,,,,6
Amano,Dos Rios,2010,70.0,U.S.A,3,,Dominican Republic,,,,,5
Amano,Guayas,2010,70.0,U.S.A,4,,Ecuador,,,,,6
Amano,Chuao,2010,70.0,U.S.A,3,Trinitario,Venezuela,trinitario,0,0,0,3
Amano,Montanya,2009,70.0,U.S.A,3,,Venezuela,,,,,3
Amano,"Bali, Jembrana",2008,70.0,U.S.A,2,,Indonesia,,,,,3
Amano,Madagascar,2007,70.0,U.S.A,3,Trinitario,Madagascar,trinitario,0,0,0,4
Amano,Cuyagua,2007,70.0,U.S.A,3,,Venezuela,,,,,3
Amano,Ocumare,2007,70.0,U.S.A,3,Criollo,Venezuela,0,criollo,0,0,5
Amatller (Simon Coll),Ghana,2009,70.0,Spain,3,Forastero,Ghana,0,0,0,forastero,3
Amatller (Simon Coll),Ecuador,2009,70.0,Spain,2,,Ecuador,,,,,3
Amatller (Simon Coll),Ecuador,2009,85.0,Spain,2,,Ecuador,,,,,3
Amatller (Simon Coll),Ghana,2009,85.0,Spain,3,Forastero,Ghana,0,0,0,forastero,3
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72.0,Peru,3,,Peru,,,,,4
Amazona,"Bellavista Gran Pajeten, San Martin",2013,73.0,Peru,3,Trinitario,Peru,trinitario,0,0,0,4
Ambrosia,Belize,2015,64.0,Canada,3,Trinitario,Belize,trinitario,0,0,0,3
Ambrosia,Madagascar,2015,66.0,Canada,3,Trinitario,Madagascar,trinitario,0,0,0,4
Ambrosia,Dominican Republic,2015,75.0,Canada,3,,Dominican Republic,,,,,4
Ambrosia,Papua New Guinea,2015,63.0,Canada,3,,Papua New Guinea,,,,,4
Ambrosia,Venezuela,2015,70.0,Canada,3,,Venezuela,,,,,4
Ambrosia,Peru,2015,68.0,Canada,3,,Peru,,,,,4
Amedei,"Piura, Blanco de Criollo",2012,70.0,Italy,3,,Peru,,,,,5
Amedei,Porcelana,2007,70.0,Italy,4,Criollo (Porcelana),Venezuela,0,criollo (porcelana),0,0,6
Amedei,Nine,2007,75.0,Italy,4,Blend,Nine,0,0,blend,0,6
Amedei,Chuao,2007,70.0,Italy,5,Trinitario,Venezuela,trinitario,0,0,0,6
Amedei,Ecuador,2007,70.0,Italy,3,Trinitario,Ecuador,trinitario,0,0,0,3
Amedei,Jamaica,2007,70.0,Italy,3,Trinitario,Jamaica,trinitario,0,0,0,3
Amedei,Grenada,2007,70.0,Italy,3,Trinitario,Grenada,trinitario,0,0,0,4
Amedei,Venezuela,2007,70.0,Italy,3,Trinitario (85% Criollo),Venezuela,trinitario (85% criollo),trinitario (85% criollo),0,0,5
Amedei,Madagascar,2007,70.0,Italy,4,Trinitario (85% Criollo),Madagascar,trinitario (85% criollo),trinitario (85% criollo),0,0,6
Amedei,Trinidad,2007,70.0,Italy,3,Trinitario,Trinidad,trinitario,0,0,0,4
Amedei,Toscano Black,2007,63.0,Italy,3,Blend,Toscano Black,0,0,blend,0,4
Amedei,Toscano Black,2006,70.0,Italy,5,Blend,Toscano Black,0,0,blend,0,6
Amedei,Toscano Black,2006,66.0,Italy,4,Blend,Toscano Black,0,0,blend,0,6
AMMA,Catongo,2013,75.0,Brazil,3,Forastero (Catongo),Brazil,0,0,0,forastero (catongo),4
AMMA,"Monte Alegre, 3 diff. plantations",2010,85.0,Brazil,2,Forastero (Parazinho),Brazil,0,0,0,forastero (parazinho),3
AMMA,"Monte Alegre, 3 diff. plantations",2010,50.0,Brazil,3,Forastero (Parazinho),Brazil,0,0,0,forastero (parazinho),5
AMMA,"Monte Alegre, 3 diff. plantations",2010,75.0,Brazil,3,Forastero (Parazinho),Brazil,0,0,0,forastero (parazinho),5
AMMA,"Monte Alegre, 3 diff. plantations",2010,60.0,Brazil,4,Forastero (Parazinho),Brazil,0,0,0,forastero (parazinho),6
Anahata,Elvesia,2014,75.0,U.S.A,3,,Dominican Republic,,,,,3
Animas,Alto Beni,2016,75.0,U.S.A,3,,Bolivia,,,,,4
Ara,Madagascar,2014,75.0,France,3,Trinitario,Madagascar,trinitario,0,0,0,3
